Date,Chat Name,Creator,Exchanges,Symbol,Status,Leverage,Direction,Last Target,Signal Gained Profit %,Entry Targets % Filled,Number Of Filled Entry Targets,Number Of Entry Targets
1/2/2025 5:15,IRONS -T,,"ByBit USDT, Bitget Futures, OKX Futures",CORE/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9797,100,1,1
1/2/2025 0:45,IRONS -T,,"Binance Futures, OKX Futures, Bitget Futures, ByBit USDT, KuCoin Futures",SUSHI/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9854,100,1,1
1/1/2025 9:00,IRONS -T,,"Bitget Futures, ByBit USDT, KuCoin Futures, Binance Futures, OKX Futures",MAGIC/USDT,Stopped Out,Cross (10.0X),Short,0,-150.0359,100,1,1
1/1/2025 6:45,IRONS -T,,"Binance Futures, Bitget Futures, KuCoin Futures, ByBit USDT",XAI/USDT,Stopped Out,Cross (10.0X),Short,0,-149.9318,100,1,1
1/1/2025 4:30,IRONS -T,,"Bitget Futures, Binance Futures, ByBit USDT, KuCoin Futures",XVG/USDT,Stopped Out,Cross (10.0X),Short,0,-149.957,100,1,1
1/1/2025 0:00,IRONS -T,,"OKX Futures, KuCoin Futures, ByBit USDT, Binance Futures, Bitget Futures",AGLD/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9946,100,1,1
12/31/2024 19:00,IRONS -T,,"Bitget Futures, ByBit USDT, Binance Futures",AERGO/USDT,Stopped Out,Cross (10.0X),Long,0,-150.1706,100,1,1
12/31/2024 18:00,IRONS -T,,"KuCoin Futures, Bitget Futures, Binance Futures, OKX Futures, ByBit USDT",GMT/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.1442,100,1,1
12/31/2024 8:00,IRONS -T,,"Binance Futures, Bitget Futures, ByBit USDT",AERGO/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.8686,100,1,1
12/30/2024 14:00,IRONS -T,,"Bitget Futures, OKX Futures, ByBit USDT, Binance Futures, KuCoin Futures",ADA/USDT,Stopped Out,Cross (10.0X),Short,0,-150.0297,100,1,1
12/30/2024 14:00,IRONS -T,,"KuCoin Futures, Bitget Futures, ByBit USDT, OKX Futures, Binance Futures",BIGTIME/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.5455,100,1,1
12/30/2024 12:00,IRONS -T,,"Binance Futures, KuCoin Futures, OKX Futures, ByBit USDT, Bitget Futures",GMT/USDT,All Targets Achieved,Cross (10.0X),Short,1,45.0721,100,1,1
12/30/2024 5:00,IRONS -T,,"KuCoin Futures, ByBit USDT, OKX Futures, Bitget Futures, Binance Futures",GMT/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.7872,100,1,1
12/29/2024 22:30,IRONS -T,,"OKX Futures, Bitget Futures, KuCoin Futures, Binance Futures, ByBit USDT",ONT/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9529,100,1,1
12/29/2024 22:30,IRONS -T,,"Binance Futures, KuCoin Futures, OKX Futures, Bitget Futures, ByBit USDT",SUSHI/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9798,100,1,1
12/29/2024 15:45,IRONS -T,,"Bitget Futures, KuCoin Futures, Binance Futures, OKX Futures, ByBit USDT",DEGEN/USDT,All Targets Achieved,Cross (10.0X),Short,1,45.7856,100,1,1
12/29/2024 12:00,IRONS -T,,"KuCoin Futures, Bitget Futures, Binance Futures, ByBit USDT",XVG/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9687,100,1,1
12/29/2024 0:00,IRONS -T,,"Binance Futures, Bitget Futures, ByBit USDT",AERGO/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.7845,100,1,1
12/28/2024 20:00,IRONS -T,,"ByBit USDT, KuCoin Futures",MDT/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9706,100,1,1
12/28/2024 20:00,IRONS -T,,ByBit USDT,REQ/USDT,Cancelled,Cross (10.0X),Long,0,0,0,0,1
12/28/2024 18:00,IRONS -T,,"Bitget Futures, ByBit USDT",RAD/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9572,100,1,1
12/28/2024 14:00,IRONS -T,,"Binance Futures, ByBit USDT, KuCoin Futures",LINA/USDT,Cancelled,Cross (10.0X),Long,0,-93.633,100,1,1
12/28/2024 11:30,IRONS -T,,"KuCoin Futures, ByBit USDT",MDT/USDT,Stopped Out,Cross (10.0X),Long,0,-219.9922,100,1,1
12/28/2024 8:00,IRONS -T,,"Bitget Futures, ByBit USDT, KuCoin Futures, Binance Futures",XVG/USDT,Stopped Out,Cross (10.0X),Short,0,-149.9788,100,1,1
12/28/2024 8:00,IRONS -T,,"ByBit USDT, Binance Futures, Bitget Futures, KuCoin Futures",ENA/USDT,Stopped Out,Cross (10.0X),Short,0,-149.9887,100,1,1
12/28/2024 4:00,IRONS -T,,"Binance Futures, KuCoin Futures, Bitget Futures, ByBit USDT",LIT/USDT,All Targets Achieved,Cross (10.0X),Long,1,30.3983,100,1,1
12/28/2024 3:00,IRONS -T,,"KuCoin Futures, OKX Futures, Binance Futures, Bitget Futures, ByBit USDT",LPT/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9731,100,1,1
12/28/2024 0:45,IRONS -T,,"KuCoin Futures, OKX Futures, Bitget Futures, Binance Futures, ByBit USDT",AGLD/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.001,100,1,1
12/27/2024 22:00,IRONS -T,,"ByBit USDT, KuCoin Futures",MDT/USDT,All Targets Achieved,Cross (10.0X),Long,1,44.9704,100,1,1
12/27/2024 12:00,IRONS -T,,"Bitget Futures, ByBit USDT, Binance Futures",AERGO/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.8805,100,1,1
12/27/2024 7:30,IRONS -T,,"ByBit USDT, KuCoin Futures, Binance Futures, Bitget Futures",XVG/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.0356,100,1,1
12/26/2024 21:00,IRONS -T,,"KuCoin Futures, Bitget Futures, Binance Futures, ByBit USDT",XAI/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.1705,100,1,1
12/26/2024 16:00,IRONS -T,,"KuCoin Futures, Bitget Futures, OKX Futures, ByBit USDT, Binance Futures",ONDO/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9917,100,1,1
12/26/2024 16:00,IRONS -T,,"KuCoin Futures, Bitget Futures, OKX Futures, ByBit USDT, Binance Futures",ONDO/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9917,100,1,1
12/26/2024 13:30,IRONS -T,,"KuCoin Futures, Bitget Futures, OKX Futures, ByBit USDT, Binance Futures",FLM/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.6192,100,1,1
12/26/2024 11:00,IRONS -T,,ByBit USDT,AIOZ/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9871,100,1,1
12/26/2024 9:00,IRONS -T,,"ByBit USDT, KuCoin Futures, Binance Futures, OKX Futures",NMR/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.987,100,1,1
12/26/2024 9:00,IRONS -T,,"OKX Futures, KuCoin Futures, Bitget Futures, ByBit USDT",CTC/USDT,All Targets Achieved,Cross (10.0X),Short,1,45.0096,100,1,1
12/26/2024 8:15,IRONS -T,,"Bitget Futures, KuCoin Futures, ByBit USDT, Binance Futures",MBOX/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9644,100,1,1
12/26/2024 8:15,IRONS -T,,"Bitget Futures, KuCoin Futures, OKX Futures, ByBit USDT, Binance Futures",ONT/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.3678,100,1,1
12/26/2024 8:15,IRONS -T,,"Bitget Futures, Binance Futures, KuCoin Futures, ByBit USDT, OKX Futures",DEGEN/USDT,All Targets Achieved,Cross (10.0X),Short,1,45.1423,100,1,1
12/26/2024 8:15,IRONS -T,,"KuCoin Futures, ByBit USDT, Bitget Futures",AGI/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9656,100,1,1
12/26/2024 5:00,IRONS -T,,"OKX Futures, KuCoin Futures, Bitget Futures, Binance Futures, ByBit USDT",ONDO/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.0133,100,1,1
12/26/2024 4:30,IRONS -T,,"Bitget Futures, Binance Futures, KuCoin Futures, OKX Futures, ByBit USDT",SUSHI/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9815,100,1,1
12/25/2024 20:00,IRONS -T,,"Bitget Futures, OKX Futures, KuCoin Futures, ByBit USDT, Binance Futures",LQTY/USDT,Stopped Out,Cross (10.0X),Long,0,-150.0107,100,1,1
12/25/2024 16:00,IRONS -T,,"Binance Futures, Bitget Futures, ByBit USDT, KuCoin Futures, OKX Futures",LQTY/USDT,All Targets Achieved,Cross (10.0X),Long,1,30.0075,100,1,1
12/25/2024 16:00,IRONS -T,,"Bitget Futures, Binance Futures, KuCoin Futures, ByBit USDT, OKX Futures",FXS/USDT,All Targets Achieved,Cross (10.0X),Long,1,44.9029,100,1,1
12/25/2024 12:00,IRONS -T,,"Binance Futures, ByBit USDT, KuCoin Futures",DASH/USDT,All Targets Achieved,Cross (10.0X),Long,1,30.0256,100,1,1
12/25/2024 10:30,IRONS -T,,"ByBit USDT, OKX Futures, Bitget Futures",CORE/USDT,Stopped Out,Cross (10.0X),Long,0,-149.9592,100,1,1
12/25/2024 8:00,IRONS -T,,"KuCoin Futures, Bitget Futures, ByBit USDT, Binance Futures",MTL/USDT,Stopped Out,Cross (10.0X),Long,0,-150,100,1,1
12/25/2024 5:00,IRONS -T,,"KuCoin Futures, Binance Futures, ByBit USDT, OKX Futures",AUCTION/USDT,All Targets Achieved,Cross (10.0X),Long,1,30.0202,100,1,1
12/25/2024 4:00,IRONS -T,,"KuCoin Futures, OKX Futures, Bitget Futures, Binance Futures, ByBit USDT",AGLD/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9865,100,1,1
12/25/2024 0:45,IRONS -T,,"Binance Futures, OKX Futures, ByBit USDT, KuCoin Futures, Bitget Futures",AGLD/USDT,All Targets Achieved,Cross (10.0X),Long,1,30.0057,100,1,1
12/24/2024 20:00,IRONS -T,,"Bitget Futures, OKX Futures, Binance Futures, KuCoin Futures, ByBit USDT",FXS/USDT,All Targets Achieved,Cross (10.0X),Long,1,45.1313,100,1,1
12/24/2024 17:00,IRONS -T,,"KuCoin Futures, ByBit USDT, Bitget Futures, OKX Futures",LOOKS/USDT,Stopped Out,Cross (10.0X),Long,0,-150.0211,100,1,1
12/24/2024 16:00,IRONS -T,,"Bitget Futures, Binance Futures, ByBit USDT, KuCoin Futures",BEL/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.943,100,1,1
12/24/2024 16:00,IRONS -T,,"ByBit USDT, Binance Futures",RLC/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9933,100,1,1
12/24/2024 16:00,IRONS -T,,"Binance Futures, Bitget Futures, ByBit USDT, OKX Futures, KuCoin Futures",RSR/USDT,All Targets Achieved,Cross (10.0X),Long,1,45.0242,100,1,1
12/24/2024 15:45,IRONS -T,,"Bitget Futures, Binance Futures, ByBit USDT, KuCoin Futures, OKX Futures",SUSHI/USDT,All Targets Achieved,Cross (10.0X),Long,1,30.011,100,1,1
12/24/2024 15:45,IRONS -T,,"Binance Futures, OKX Futures, ByBit USDT, KuCoin Futures, Bitget Futures",DYDX/USDT,All Targets Achieved,Cross (10.0X),Long,1,30.2077,100,1,1
12/24/2024 15:00,IRONS -T,,"ByBit USDT, Binance Futures, OKX Futures, KuCoin Futures",AUCTION/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9875,100,1,1
12/24/2024 14:00,IRONS -T,,"Bitget Futures, ByBit USDT, Binance Futures",AERGO/USDT,All Targets Achieved,Cross (10.0X),Long,1,30.1966,100,1,1
12/24/2024 12:00,IRONS -T,,"Bitget Futures, ByBit USDT, Binance Futures, KuCoin Futures",MTL/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9992,100,1,1
12/24/2024 9:00,IRONS -T,,"Bitget Futures, OKX Futures, Binance Futures, ByBit USDT, KuCoin Futures",ICX/USDT,All Targets Achieved,Cross (10.0X),Long,1,45.137,100,1,1
12/24/2024 6:00,IRONS -T,,"KuCoin Futures, ByBit USDT, OKX Futures, Binance Futures",AUCTION/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9853,100,1,1
12/24/2024 2:15,IRONS -T,,"KuCoin Futures, ByBit USDT, OKX Futures, Binance Futures, Bitget Futures",AGLD/USDT,All Targets Achieved,Cross (10.0X),Long,1,30.012,100,1,1
12/24/2024 1:00,IRONS -T,,"Binance Futures, Bitget Futures, ByBit USDT, KuCoin Futures",MTL/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9825,100,1,1
12/23/2024 22:00,IRONS -T,,"Bitget Futures, OKX Futures, Binance Futures, KuCoin Futures, ByBit USDT",LQTY/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9804,100,1,1
12/23/2024 21:00,IRONS -T,,"Binance Futures, Bitget Futures, OKX Futures, ByBit USDT, KuCoin Futures",AAVE/USDT,Cancelled,Cross (10.0X),Long,0,0,0,0,1
12/23/2024 21:00,IRONS -T,,"Bitget Futures, OKX Futures, KuCoin Futures, ByBit USDT",LOOKS/USDT,Cancelled,Cross (10.0X),Long,0,0,0,0,1
12/23/2024 16:00,IRONS -T,,"KuCoin Futures, OKX Futures, ByBit USDT, Bitget Futures, Binance Futures",APT/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9055,100,1,1
12/22/2024 20:15,IRONS -T,,"KuCoin Futures, Binance Futures, ByBit USDT",RIF/USDT,Stopped Out,Cross (10.0X),Short,0,-149.9739,100,1,1
12/22/2024 20:00,IRONS -T,,"Bitget Futures, ByBit USDT",RAD/USDT,Stopped Out,Cross (10.0X),Short,0,-150.2989,100,1,1
12/22/2024 16:00,IRONS -T,,"Binance Futures, ByBit USDT",ZEN/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9841,100,1,1
12/22/2024 15:00,IRONS -T,,"KuCoin Futures, OKX Futures, Binance Futures, Bitget Futures, ByBit USDT",ONDO/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.0237,100,1,1
12/22/2024 5:15,IRONS -T,,"Binance Futures, ByBit USDT, Bitget Futures, KuCoin Futures",XAI/USDT,Stopped Out,Cross (10.0X),Short,0,-150.1555,100,1,1
12/22/2024 2:15,IRONS -T,,"KuCoin Futures, OKX Futures, Bitget Futures, ByBit USDT, Binance Futures",AGLD/USDT,Stopped Out,Cross (10.0X),Long,0,-150.0129,100,1,1
12/21/2024 23:15,IRONS -T,,"KuCoin Futures, Bitget Futures, ByBit USDT, Binance Futures, OKX Futures",ONT/USDT,Stopped Out,Cross (10.0X),Short,0,-150,100,1,1
12/21/2024 23:15,IRONS -T,,"ByBit USDT, Binance Futures, Bitget Futures, KuCoin Futures",MAV/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.2556,100,1,1
12/21/2024 22:30,IRONS -T,,"KuCoin Futures, Bitget Futures, Binance Futures, ByBit USDT",NTRN/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.978,100,1,1
12/21/2024 22:30,IRONS -T,,"KuCoin Futures, OKX Futures, Binance Futures, ByBit USDT, Bitget Futures",AGLD/USDT,All Targets Achieved,Cross (10.0X),Long,1,30.0163,100,1,1
12/21/2024 21:45,IRONS -T,,"Bitget Futures, KuCoin Futures, OKX Futures, ByBit USDT, Binance Futures",DYDX/USDT,All Targets Achieved,Cross (10.0X),Short,1,-150.1057,100,1,1
12/21/2024 20:15,IRONS -T,,"KuCoin Futures, OKX Futures, ByBit USDT, Bitget Futures, Binance Futures",AGLD/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9983,100,1,1
12/21/2024 20:00,IRONS -T,,"KuCoin Futures, ByBit USDT, Binance Futures, OKX Futures, Bitget Futures",AGLD/USDT,All Targets Achieved,Cross (10.0X),Long,1,29.9715,100,1,1
12/21/2024 19:30,IRONS -T,,"KuCoin Futures, Bitget Futures, Binance Futures, ByBit USDT",MBOX/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.2241,100,1,1
12/21/2024 19:30,IRONS -T,,"Bitget Futures, ByBit USDT, OKX Futures, KuCoin Futures, Binance Futures",SUSHI/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.0319,100,1,1
12/21/2024 19:30,IRONS -T,,"ByBit USDT, KuCoin Futures, Bitget Futures, Binance Futures",XVG/USDT,Stopped Out,Cross (10.0X),Short,0,-149.9089,100,1,1
12/21/2024 15:00,IRONS -T,,"KuCoin Futures, OKX Futures, ByBit USDT, Bitget Futures, Binance Futures",AGLD/USDT,All Targets Achieved,Cross (10.0X),Long,1,30.0262,100,1,1
12/21/2024 13:30,IRONS -T,,"Bitget Futures, ByBit USDT",RAD/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.2288,100,1,1
12/21/2024 13:30,IRONS -T,,"KuCoin Futures, OKX Futures, Bitget Futures, ByBit USDT, Binance Futures",KNC/USDT,All Targets Achieved,Cross (10.0X),Short,1,29.9219,100,1,1
12/21/2024 13:30,IRONS -T,,"KuCoin Futures, ByBit USDT, OKX Futures, Binance Futures, Bitget Futures",JUP/USDT,All Targets Achieved,Cross (10.0X),Short,1,45.0018,100,1,1
12/21/2024 12:00,IRONS -T,,"ByBit USDT, Bitget Futures, Binance Futures, KuCoin Futures, OKX Futures",AGLD/USDT,All Targets Achieved,Cross (10.0X),Long,1,30.0209,100,1,1
12/20/2024 13:30,IRONS -T,,"ByBit USDT, Binance Futures, KuCoin Futures, Bitget Futures, OKX Futures",DYDX/USDT,Stopped Out,Cross (10.0X),Short,0,-150.2933,100,1,1
12/20/2024 13:30,IRONS -T,,"ByBit USDT, Binance Futures, KuCoin Futures, Bitget Futures, OKX Futures",WIF/USDT,Stopped Out,Cross (10.0X),Short,0,-149.8044,100,1,1
12/20/2024 12:00,IRONS -T,,"KuCoin Futures, OKX Futures, Binance Futures, Bitget Futures, ByBit USDT",APT/USDT,All Targets Achieved,Cross (10.0X),Short,1,30.011,100,1,1
12/20/2024 12:00,IRONS -T,,"Bitget Futures, ByBit USDT, Binance Futures, OKX Futures, KuCoin Futures",ONDO/USDT,Stopped Out,Cross (10.0X),Short,0,-149.9966,100,1,1
12/20/2024 12:00,IRONS -T,,"ByBit USDT, Binance Futures, KuCoin Futures",EDU/USDT,Stopped Out,Cross (10.0X),Short,0,-149.9673,100,1,1
12/20/2024 12:00,IRONS -T,,"OKX Futures, Bitget Futures, ByBit USDT, Binance Futures, KuCoin Futures",MEME/USDT,Stopped Out,Cross (10.0X),Short,0,-149.8881,100,1,1
12/20/2024 12:00,IRONS -T,,"ByBit USDT, Binance Futures, Bitget Futures",ONG/USDT,Stopped Out,Cross (10.0X),Short,0,-150.0367,100,1,1
