message,severity,attributes,tags,timestamp
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/f207aaaa-ad88-483c-94bf-dcfdd68d295b/vol_kfmeeufbododrjhq,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:31.239270919Z
Starting Redis Server,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187665628Z
"1:C 20 Apr 2026 05:52:31.935 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.",info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187671206Z
1:C 20 Apr 2026 05:52:31.935 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187678701Z
"1:C 20 Apr 2026 05:52:31.935 * Redis version=8.2.1, bits=64, commit=00000000, modified=1, pid=1, just started",info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187684703Z
1:C 20 Apr 2026 05:52:31.935 * Configuration loaded,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187774192Z
1:M 20 Apr 2026 05:52:31.935 * monotonic clock: POSIX clock_gettime,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187779233Z
"1:M 20 Apr 2026 05:52:31.937 * Running mode=standalone, port=6379.",info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187784285Z
1:M 20 Apr 2026 05:52:31.938 * <bf> RedisBloom version 8.2.0 (Git=unknown),info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187789706Z
1:M 20 Apr 2026 05:52:31.938 * <bf> Registering configuration options: [,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187794890Z
