Date,Chat Name,Creator,Exchanges,Symbol,Status,Leverage,Direction,Last Target,Duration,Signal Gained Profit %,Entry Targets % Filled,Number of Filled Entry Targets,Filled Average Entry Price,Number of Entry Targets,Entry Zone Range,Average Entry Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,TP6 Price,TP7 Price,TP8 Price,TP9 Price,TP10 Price,Stop Loss Price
2026-04-10 01:10:45,PnLTactics,,"KuCoin Futures, BloFin Futures, BingX Futures, OKX Futures, HyperLiquid Futures, Bitget Futures, Binance Futures, ByBit USDT",ARB/USDT,Stopped Out,Isolated (5.0X),Long,0,5 hr 27 min,-7.9582,100.0,2,0.10994999999999999,2,0.1099-0.1124,0.11115,,,,,,,,,,,0.1082
2026-04-10 00:55:42,PnLTactics,,"HyperLiquid Futures, Bitget Futures, OKX Futures, ByBit USDT, KuCoin Futures, Binance Futures, BloFin Futures, BingX Futures",ARB/USDT,All Targets Achieved,Isolated (5.0X),Long,3,1 day 1 hr,24.6096,100.0,2,0.10951,2,0.1096-0.1119,0.11075,0.1124,0.1147,0.1176,,,,,,,,
2026-04-10 00:44:43,PnLTactics,,"BingX Futures, ByBit USDT, Binance Futures, KuCoin Futures, Bitget Futures",4/USDT,Stopped Out,Isolated (5.0X),Long,0,5 min,-14.7913,100.0,2,0.01893,2,0.01894-0.01966,0.019299999999999998,,,,,,,,,,,0.01837
2026-04-10 00:23:34,PnLTactics,,"Binance Futures, Bitget Futures, BloFin Futures, ByBit USDT",RED/USDT,Stopped Out,Isolated (5.0X),Short,0,38 min,-9.3342,100.0,2,0.1607,2,0.1583-0.1607,0.1595,,,,,,,,,,,0.1637
2026-04-09 22:18:07,PnLTactics,,"HyperLiquid Futures, BingX Futures, OKX Futures, KuCoin Futures, Binance Futures, Bitget Futures, BloFin Futures, ByBit USDT",SOL/USDT,Stopped Out,Isolated (5.0X),Long,0,12 min,-3.2432,100.0,2,85.3335,2,85.12-85.55,85.33500000000001,,,,,,,,,,,84.78
2026-04-09 22:11:09,PnLTactics,,"BloFin Futures, Bitget Futures, ByBit USDT, BingX Futures, OKX Futures, Binance Futures, HyperLiquid Futures, KuCoin Futures",SOL/USDT,Partial Targets Achieved,Isolated (6.0X),Long,1,24 min,3.3116,100.0,2,84.55000000000001,2,84.54-84.84,84.69,85.67,,,,,,,,,,84.69
2026-04-09 20:04:46,PnLTactics,,"BloFin Futures, BingX Futures, OKX Futures, Bitget Futures, KuCoin Futures, ByBit USDT, Binance Futures",WLFI/USDT,Stopped Out,Isolated (6.0X),Long,0,53 min,-4.4444,100.0,2,0.0945,2,0.0947-0.0954,0.09505,,,,,,,,,,,0.0938
2026-04-09 19:55:39,PnLTactics,,"Binance Futures, HyperLiquid Futures, BloFin Futures, BingX Futures, KuCoin Futures, OKX Futures, Bitget Futures, ByBit USDT",BNB/USDT,Stopped Out,Isolated (6.0X),Long,0,3 hr 14 min,-3.8828,100.0,2,608.84,2,608.9-612.1,610.5,,,,,,,,,,,604.9
2026-04-09 19:09:47,PnLTactics,,"Binance Futures, KuCoin Futures, BingX Futures, BloFin Futures, HyperLiquid Futures, OKX Futures, ByBit USDT, Bitget Futures",BNB/USDT,Stopped Out,Isolated (6.0X),Long,0,3 hr 57 min,-3.8222,100.0,2,609.08,2,609.2-611.3,610.25,,,,,,,,,,,605.2
2026-04-09 18:26:49,PnLTactics,,"HyperLiquid Futures, BingX Futures, BloFin Futures, KuCoin Futures, Binance Futures, OKX Futures, Bitget Futures",CRCL/USDT,Stopped Out,Isolated (6.0X),Short,0,7 hr 10 min,-10.826,100.0,2,85.8215,2,83.95-85.86,84.905,,,,,,,,,,,87.37
