Date,Chat Name,Creator,Exchanges,Symbol,Status,Leverage,Direction,Last Target,Duration,Signal Gained Profit %,Entry Targets % Filled,Number of Filled Entry Targets,Filled Average Entry Price,Number of Entry Targets,Entry Zone Range,Average Entry Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,TP6 Price,TP7 Price,TP8 Price,TP9 Price,TP10 Price,Stop Loss Price
2026-04-06 00:29:27,SignalTactics,,Binance Futures,DRIFT/USDT,Stopped Out,Cross (10.0X),Long,0,23 min,-30.0504,100.0,1,0.04559,1,0.04559-0.04559,0.04559,,,,,,,,,,,0.04422
2026-04-06 00:23:13,SignalTactics,,Binance Futures,SOL/USDT,Stopped Out,Cross (10.0X),Long,0,5 hr 59 min,-8.6501,100.0,1,82.08,1,82.08-82.08,82.08,,,,,,,,,,,81.37
2026-04-06 00:14:14,SignalTactics,,Binance Futures,DRIFT/USDT,Stopped Out,Cross (10.0X),Long,0,35 min,-30.0916,100.0,1,0.04586,1,0.04586-0.04586,0.04586,,,,,,,,,,,0.04448
2026-04-06 00:12:02,SignalTactics,,Binance Futures,XRP/USDT,Partial Targets Achieved,Cross (10.0X),Long,1,22 hr 41 min,-0.6512,100.0,1,1.3309,1,1.3309-1.3309,1.3309,1.3457,,,,,,,,,,1.3222
2026-04-06 00:10:11,SignalTactics,,Binance Futures,PAXG/USDT,Stopped Out,Cross (10.0X),Short,0,2 hr 8 min,-6.4988,100.0,1,4607.01,1,4607.0-4607.0,4607.0,,,,,,,,,,,4636.95
2026-04-06 00:08:31,SignalTactics,,Binance Futures,BNB/USDT,Stopped Out,Cross (10.0X),Long,0,59 min,-6.2024,100.0,1,606.22,1,606.4-606.4,606.4,,,,,,,,,,,602.46
2026-04-06 00:06:40,SignalTactics,,Binance Futures,XRP/USDT,Stopped Out,Cross (10.0X),Long,0,1 hr,-6.511,100.0,1,1.3362,1,1.3362-1.3362,1.3362,,,,,,,,,,,1.3275
2026-04-06 00:04:46,SignalTactics,,Binance Futures,ADA/USDT,Partial Targets Achieved,Cross (10.0X),Long,1,16 hr 58 min,-0.6572,100.0,1,0.2536,1,0.2537-0.2537,0.2537,0.2583,,,,,,,,,,0.251
2026-04-06 00:03:06,SignalTactics,,Binance Futures,BNB/USDT,Stopped Out,Cross (10.0X),Long,0,1 hr 31 min,-6.4984,100.0,1,604.76,1,604.76-604.76,604.76,,,,,,,,,,,600.83
2026-04-06 00:01:37,SignalTactics,,Binance Futures,SOL/USDT,Stopped Out,Cross (10.0X),Long,0,19 min,-7.2613,100.0,1,82.63,1,82.73-82.73,82.73,,,,,,,,,,,82.03
2026-04-05 23:29:08,SignalTactics,,Binance Futures,NEAR/USDT,All Targets Achieved,Cross (10.0X),Long,3,10 hr 53 min,26.5915,100.0,1,1.241,1,1.242-1.242,1.242,1.259,1.273,1.29,,,,,,,,
2026-04-05 23:22:17,SignalTactics,,Binance Futures,BNB/USDT,Partial Targets Achieved,Cross (10.0X),Long,1,23 hr 38 min,0.4263,100.0,1,602.02,1,602.68-602.68,602.68,609.31,,,,,,,,,,598.76
2026-04-05 23:04:53,SignalTactics,,Binance Futures,XRP/USDT,All Targets Achieved,Cross (10.0X),Long,3,10 hr 14 min,20.8889,100.0,1,1.3117,1,1.312-1.312,1.312,1.3264,1.3382,1.3527,,,,,,,,
2026-04-05 23:02:12,SignalTactics,,Binance Futures,BNB/USDT,Partial Targets Achieved,Cross (10.0X),Long,2,1 day 13 hr,8.166,100.0,1,598.01,1,598.01-598.01,598.01,604.59,609.97,,,,,,,,,594.12
2026-04-05 22:59:59,SignalTactics,,Binance Futures,PIPPIN/USDT,Stopped Out,Cross (10.0X),Long,0,20 min,-25.4958,100.0,1,0.04589,1,0.04591-0.04591,0.04591,,,,,,,,,,,0.04472
2026-04-05 22:57:53,SignalTactics,,Binance Futures,XRP/USDT,Cancelled,Cross (10.0X),Long,0,17 min,0.0,0,0,,1,1.3101-1.3101,1.3101,,,,,,,,,,,
2026-04-05 22:56:09,SignalTactics,,Binance Futures,ETH/USDT,All Targets Achieved,Cross (10.0X),Long,3,3 hr 15 min,20.8723,100.0,1,2077.08,1,2077.5-2077.5,2077.5,2100.35,2119.05,2141.9,,,,,,,,
2026-04-05 22:53:47,SignalTactics,,Binance Futures,ADA/USDT,All Targets Achieved,Cross (10.0X),Long,3,1 hr 7 min,25.9124,100.0,1,0.2457,1,0.2457-0.2457,0.2457,0.2491,0.2519,0.2552,,,,,,,,
2026-04-05 22:43:57,SignalTactics,,Binance Futures,ETH/USDT,Cancelled,Cross (10.0X),Long,0,14 min,0.0,0,0,,1,2064.01-2064.01,2064.01,,,,,,,,,,,
2026-04-05 22:42:14,SignalTactics,,Binance Futures,BTC/USDT,All Targets Achieved,Cross (10.0X),Long,3,10 hr 32 min,20.8096,100.0,1,67640.2,1,67649.7-67649.7,67649.7,68393.8,69002.7,69746.8,,,,,,,,
2026-04-05 22:28:17,SignalTactics,,Binance Futures,SOL/USDT,Stopped Out,Cross (10.0X),Short,0,15 min,-6.5549,100.0,1,79.33,1,79.33-79.33,79.33,,,,,,,,,,,79.85
2026-04-05 22:21:26,SignalTactics,,Binance Futures,SOL/USDT,Stopped Out,Cross (10.0X),Short,0,10 min,-6.4394,100.0,1,79.2,1,79.2-79.2,79.2,,,,,,,,,,,79.71
